From	To	Species	Gene Name
71891	CDAC1_MOUSE	Mus musculus	cytidine and dCMP deaminase domain containing 1
20439	Q3UEV2_MOUSE	Mus musculus	seven in absentia 2
20439	SIAH2_MOUSE	Mus musculus	seven in absentia 2
20439	Q3UT93_MOUSE	Mus musculus	seven in absentia 2
71890	A2A7G6_MOUSE	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
71890	MD2L2_MOUSE	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
71890	A2A7G8_MOUSE	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
71890	A2A7G7_MOUSE	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
71890	A2A7G5_MOUSE	Mus musculus	MAD2 mitotic arrest deficient-like 2 (yeast)
75593	CG030_MOUSE	Mus musculus	RIKEN cDNA 2410003K15 gene
225055	FBX11_MOUSE	Mus musculus	F-box protein 11
225055	Q3UYG9_MOUSE	Mus musculus	F-box protein 11
225055	B0LAC4_MOUSE	Mus musculus	F-box protein 11
225055	Q3V178_MOUSE	Mus musculus	F-box protein 11
100038591	Q3TNJ6_MOUSE	Mus musculus	RIKEN cDNA F420014N23 gene
20438	SIA1B_MOUSE	Mus musculus	seven in absentia 1B
20438	A2AHZ3_MOUSE	Mus musculus	seven in absentia 1B
20438	A2AHZ2_MOUSE	Mus musculus	seven in absentia 1B
20437	SIA1A_MOUSE	Mus musculus	seven in absentia 1A
75597	MIMIT_MOUSE	Mus musculus	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2
75597	Q3TLI6_MOUSE	Mus musculus	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2
69666	PSMG4_MOUSE	Mus musculus	proteasome (prosome, macropain) assembly chaperone 4
69665	UPK3L_MOUSE	Mus musculus	RIKEN cDNA 2310043J07 gene
20431	Q9QY70_MOUSE	Mus musculus	silver
20431	Q9QY67_MOUSE	Mus musculus	silver
20431	PME17_MOUSE	Mus musculus	silver
20431	Q9CZB2_MOUSE	Mus musculus	silver
69663	Q6IS54_MOUSE	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
69663	DDX51_MOUSE	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
69663	Q9D6S8_MOUSE	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
69668	Q9D6T3_MOUSE	Mus musculus	coiled-coil domain containing 115; predicted gene 7774
69668	CC115_MOUSE	Mus musculus	coiled-coil domain containing 115; predicted gene 7774
140559	IGSF8_MOUSE	Mus musculus	immunoglobulin superfamily, member 8
20430	Q8C8R2_MOUSE	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	CYFP1_MOUSE	Mus musculus	cytoplasmic FMR1 interacting protein 1
52040	PP1RA_MOUSE	Mus musculus	protein phosphatase 1, regulatory subunit 10
52040	A0PJI3_MOUSE	Mus musculus	protein phosphatase 1, regulatory subunit 10
52040	Q99KB0_MOUSE	Mus musculus	protein phosphatase 1, regulatory subunit 10
52040	Q3ULI5_MOUSE	Mus musculus	protein phosphatase 1, regulatory subunit 10
69662	Q497V8_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69662	Q6PDX4_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69662	Q3TA61_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69662	B8JJ69_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69662	Q3UM69_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69662	A0PJN6_MOUSE	Mus musculus	RIKEN cDNA 2310061I04 gene
69660	Q3TJV3_MOUSE	Mus musculus	transmembrane BAX inhibitor motif containing 1
69660	TMBI1_MOUSE	Mus musculus	transmembrane BAX inhibitor motif containing 1
69660	Q570Z3_MOUSE	Mus musculus	transmembrane BAX inhibitor motif containing 1
69660	Q3U717_MOUSE	Mus musculus	transmembrane BAX inhibitor motif containing 1
69660	Q3TCN7_MOUSE	Mus musculus	transmembrane BAX inhibitor motif containing 1
218756	S4A7_MOUSE	Mus musculus	solute carrier family 4, sodium bicarbonate cotransporter, member 7
218756	Q9JL09_MOUSE	Mus musculus	solute carrier family 4, sodium bicarbonate cotransporter, member 7
218756	Q8BWZ4_MOUSE	Mus musculus	solute carrier family 4, sodium bicarbonate cotransporter, member 7
194268	CA109_MOUSE	Mus musculus	RIKEN cDNA 9930104L06 gene
320277	SPEF2_MOUSE	Mus musculus	sperm flagellar 2
319701	FBX48_MOUSE	Mus musculus	F-box protein 48
109346	ANR39_MOUSE	Mus musculus	ankyrin repeat domain 39
109346	Q14A32_MOUSE	Mus musculus	ankyrin repeat domain 39
225049	Q8C9T8_MOUSE	Mus musculus	tetratricopeptide repeat domain 7
225049	Q810V1_MOUSE	Mus musculus	tetratricopeptide repeat domain 7
225049	TTC7A_MOUSE	Mus musculus	tetratricopeptide repeat domain 7
225049	Q3TNI8_MOUSE	Mus musculus	tetratricopeptide repeat domain 7
225049	Q8C1U7_MOUSE	Mus musculus	tetratricopeptide repeat domain 7
71881	APMAP_MOUSE	Mus musculus	RIKEN cDNA 2310001A20 gene
20448	Q3UMI2_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q3TT62_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q9JHP2_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q3U6Q6_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q9JHP3_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q9JHP1_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	SIA7D_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20448	Q8C3J2_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20446	SIA7B_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
20446	A2A7Y2_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
20446	Q9JJM5_MOUSE	Mus musculus	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
20444	SIA4B_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
20444	Q3UY67_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
20444	Q91WH6_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
20444	Q8BSE9_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
20444	Q8BSA0_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
20444	Q8BPL0_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
69674	MI4GD_MOUSE	Mus musculus	MIF4G domain containing
69674	A2A9W3_MOUSE	Mus musculus	MIF4G domain containing
69674	A2A9W1_MOUSE	Mus musculus	MIF4G domain containing
69674	Q8BTE1_MOUSE	Mus musculus	MIF4G domain containing
20443	Q9CVE8_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
20443	P97354_MOUSE	Mus musculus	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
