From	To
20308	CCL9_MOUSE
20308	Q3U9T8_MOUSE
218914	B7ZP47_MOUSE
218914	WAPL_MOUSE
20446	SIA7B_MOUSE
14233	FOXI1_MOUSE
233332	E9Q4D1_MOUSE
233332	Q3V310_MOUSE
217316	MOT6_MOUSE
14620	CXB3_MOUSE
80888	HSPB8_MOUSE
68043	N6MT2_MOUSE
13730	EMP1_MOUSE
13730	Q05BR0_MOUSE
13730	Q4FK43_MOUSE
51801	E9Q915_MOUSE
51801	Q3TNJ3_MOUSE
51801	RAMP1_MOUSE
242894	ARP3B_MOUSE
22419	WNT5B_MOUSE
227327	B3GN7_MOUSE
69987	CI009_MOUSE
16529	Q9JK62_MOUSE
319152	H31_MOUSE
230612	SC5A9_MOUSE
12349	CAH2_MOUSE
20148	DHRS3_MOUSE
20148	G5E8W9_MOUSE
214763	CGAS_MOUSE
107684	B1AVH4_MOUSE
107684	B1AVH5_MOUSE
107684	COR2A_MOUSE
225875	LRFN4_MOUSE
12571	CDK6_MOUSE
12571	Q0VBK8_MOUSE
66910	TM107_MOUSE
69885	AUNIP_MOUSE
319701	FBX48_MOUSE
70024	MCM10_MOUSE
17869	B2RSN1_MOUSE
17869	MYC_MOUSE
100503583	FSBP_MOUSE
269855	SRCRL_MOUSE
19659	Q58EU7_MOUSE
19659	RET1_MOUSE
16818	E9Q696_MOUSE
16818	LCK_MOUSE
21853	Q3U574_MOUSE
21853	TIM_MOUSE
20969	Q3V1F2_MOUSE
20969	SDC1_MOUSE
330286	K1549_MOUSE
231830	MILK2_MOUSE
66953	CDCA7_MOUSE
57875	ANGL4_MOUSE
12649	CHK1_MOUSE
12269	C4BPA_MOUSE
269224	PASK_MOUSE
22256	Q791V7_MOUSE
22256	UNG_MOUSE
623474	FSBP_MOUSE
623474	RA54B_MOUSE
66664	Q9CUY8_MOUSE
66664	TM41A_MOUSE
20425	GLYC_MOUSE
16797	LAT_MOUSE
16797	Q546H1_MOUSE
